,Address,Latitude,Longitude
50,"""7 Rue des Carrières, 95360 Montmagny, France""",48.97202420000000,2.3510519
51,"""169 Boulevard Jean Mermoz, 93380 Pierrefitte-sur-Seine, France""",48.9722303,2.3659101
52,"""2 Allée Boris Vian, 93380 Pierrefitte-sur-Seine, France""",48.972128,2.3690806
53,"""1 Place Suzanne Valadon, 95200 Sarcelles, France""",48.97239830000000,2.3822135
54,"""9 Square Pierre de Geyter, 95140 Garges-lès-Gonesse, France""",48.9719577,2.3860185
55,"""4 Avenue de la Commune de Paris, 95140 Garges-lès-Gonesse, France""",48.972323,2.3990635
56,"""13 Rue des Acacias, 95140 Garges-lès-Gonesse, France""",48.9721583,2.4020311
57,"""26 Rue Mozart, 95140 Garges-lès-Gonesse, France""",48.9725161,2.415127
58,"""Gare de Sannois - Maréchal Foch, 95110 Sannois, France""",48.970715,2.264281
59,"""28 Rue Alphonse Duchesne, 95110 Sannois, France""",48.9697344,2.2683463
60,"""5 Allée des Serres, 95210 Saint-Gratien, France""",48.969344,2.2821784
61,"""1 Passage Catinat, 95210 Saint-Gratien, France""",48.969117,2.284923
62,"""26 Boulevard du Lac, 95880 Enghien-les-Bains, France""",48.9692292,2.297198
63,"""3 Avenue de Ceinture, 95880 Enghien-les-Bains, France""",48.9700674,2.3034053
64,"""4 Rue Marceau, 95170 Deuil-la-Barre, France""",48.9696896,2.3151752
65,"""34 Rue André Rabier, 95170 Deuil-la-Barre, France""",48.9694014,2.3185551
66,"""3 Chemin de la Plante des Champs, 95360 Deuil-la-Barre, France""",48.9688661,2.3318166
67,"""8 Allée Jacqueline Auriol, 95360 Montmagny, France""",48.96893440000000,2.3342153
68,"""5 Allée des Essarts, 95360 Montmagny, France""",48.969387,2.3489151
69,"""7 Rue du Val Richebourg, 95360 Montmagny, France""",48.9700216,2.3518122
70,"""104 Boulevard Jean Mermoz, 93380 Pierrefitte-sur-Seine, France""",48.9694562,2.3657266
71,"""79 Rue Jules Châtenay, 93380 Pierrefitte-sur-Seine, France""",48.9694464,2.368586
72,"""10 Rue de la Pépinière, 93240 Stains, France""",48.9697956,2.3827831
73,"""51 Rue Louis Choix, 95140 Garges-lès-Gonesse, France""",48.96983530000000,2.3852555
74,"""Maternelle Effel, 95140 Garges-lès-Gonesse, France""",48.9687384,2.3995637
75,"""2 Rue Edouard le Corbusier, 95140 Garges-lès-Gonesse, France""",48.9696659,2.4015332
76,"""19 Rue Marcel Bourgogne, 95140 Garges-lès-Gonesse, France""",48.9696046,2.4158281
77,"""27 Rue Ernest Renan, 95100 Argenteuil, France""",48.9545926,2.2650451
78,"""62 Rue d'Orgemont, 95100 Argenteuil, France""",48.9560452,2.2679782
79,"""8 Rue des Catalans, 95100 Argenteuil, France""",48.9559927,2.2821675
80,"""37 Rue des Normands, 95100 Argenteuil, France""",48.9561029,2.2852269
81,"""24 Rue Félix Merlin, 93800 Épinay-sur-Seine, France""",48.955579,2.2975418
82,"""Epinay sur Seine, 93800 Épinay-sur-Seine, France""",48.955735,2.314739
83,"""7 Impasse Berthier, 93800 Épinay-sur-Seine, France""",48.9555947,2.3171956
84,"""45 Avenue Jean Jaurès, 93800 Épinay-sur-Seine, France""",48.95531890000000,2.3184379
85,"""195 Route de Saint-Leu, 93800 Épinay-sur-Seine, France""",48.955822,2.3321359
86,"""15 Avenue du Maroc, 93430 Villetaneuse, France""",48.9560997,2.335488
87,"""20 Rue Raymond Brosse, 93430 Villetaneuse, France""",48.9560075,2.3489748
88,"""Chemin des Joncherolles, 93430 Villetaneuse, France""",48.9578944,2.3536117
89,"""12 Rue Corneille, 93380 Pierrefitte-sur-Seine, France""",48.9558337,2.365014
90,"""40 Rue du Bois Moussay, 93240 Stains, France""",48.955799,2.367908
91,"""4 Avenue Paul Vaillant Couturier, 93240 Stains, France""",48.9556206,2.3828035
92,"""Louis Bordes, 93240 Stains, France""",48.9546567,2.3862439
93,"""93240 Stains, France""",48.9612947,2.381373
94,"""Leo Lagrange, 93440 Dugny, France""",48.956376,2.415651
95,"""47 Rue Raspail, 95100 Argenteuil, France""",48.9527476,2.2659637
96,"""123 B Avenue de Stalingrad, 95100 Argenteuil, France""",48.9527419,2.2684423
97,"""64 Rue des Déserts, 95100 Argenteuil, France""",48.9520703,2.2823748
98,"""6 Rue des Gascons, 95100 Argenteuil, France""",48.95294130000000,2.2849842
99,"""88 Chemin de Halage, 93800 Épinay-sur-Seine, France""",48.9525775,2.2981202
100,"""53 Rue des Alliés, 93800 Épinay-sur-Seine, France""",48.9529765,2.3026869
101,"""Rose Bertin, 93800 Épinay-sur-Seine, France""",48.952618,2.315695
102,"""17 Avenue de la République, 93800 Épinay-sur-Seine, France""",48.9524538,2.3181166
103,"""26 Rue de l'Avenir, 93800 Épinay-sur-Seine, France""",48.9532588,2.3324
104,"""143 Route de Saint-Leu, 93800 Épinay-sur-Seine, France""",48.9531695,2.3352809
105,"""Villetaneuse, France""
",48.9609899,2.3459158
106,"""95 Rue Marcel Sembat, 93430 Villetaneuse, France""",48.9526945,2.3525278
107,"""105 Rue Nungesser et Coli, 93380 Pierrefitte-sur-Seine, France""",48.9527334,2.3663233
108,"""Lycée de Pierrefitte-sur-Seine, 93380, France""",48.953128,2.368639
109,"""35 Avenue Paul Vaillant Couturier, 93240 Stains, France""",48.952645,2.3823661
110,"""47 Boulevard Maxime Gorki, 93240 Stains, France""",48.9525723,2.3849391
111,"""Unnamed Road, 93240 Stains, France""",48.9612947,2.381373
112,"""93240 Stains, France""",48.9612947,2.381373
113,"""2 Rue Félix Fallières, 93440 Dugny, France""",48.9530557,2.4157422
114,"""568 Route Centrale du Môle Numéro 1, 92230 Gennevilliers, France""",48.93897400000000,2.2658605
115,"""494 Route du Bassin Numéro 1, 92230 Gennevilliers, France""",48.9390107,2.2668559
116,"""35 Route Principale du Port, 92230 Gennevilliers, France""",48.9383621,2.2811231
117,"""27 Route Principale du Port, 92230 Gennevilliers, France""",48.9389675,2.2840017
118,"""92230 Gennevilliers, France""",48.9326847,2.3000941
119,"""A86, 92230 Gennevilliers, France""",48.93543770000000,2.2846395
120,"""44 Avenue du 8 Mai 1945, 92390 Villeneuve-la-Garenne, France""",48.9384031,2.3187218
121,"""38 Rue de la Fossé aux Astres, 92390 Villeneuve-la-Garenne, France""",48.9390176,2.3321248
122,"""74 Rue de la Fossé aux Astres, 92390 Villeneuve-la-Garenne, France""",48.94248900000000,2.3305797
123,"""12 Rue Paul Eluard, 93200 Saint-Denis, France""",48.9389152,2.3492163
124,"""26 Boulevard Carnot, 93200 Saint-Denis, France""",48.9385367,2.3517397
125,"""24 Rue Georges Politzer, 93200 Saint-Denis, France""",48.939877,2.3656267
126,"""Marcel Cachin - Desnos, 93200 Saint-Denis, France""",48.938776,2.369736
127,"""2 Rue Jacques Vache, 93200 Saint-Denis, France""",48.9395233,2.3814473
128,"""93 Avenue Romain Rolland, 93200 Saint-Denis, France""",48.9404547,2.3846656
129,"""Parc départemental Georges-Valbon, 55 Avenue Waldeck Rochet, 93120 La Courneuve, France""",48.93723480000000,2.4036373
130,"""Unnamed Road, 93120 La Courneuve, France""",48.93062580000000,2.4013584
131,"""A1, 93350 La Courneuve, France""",48.9412737,2.4279022
132,"""6 Rue Fulgence Bienvenue, 92230 Gennevilliers, France""",48.9362415,2.265236
133,"""60 Route Principale du Port, 92230 Gennevilliers, France""",48.9361927,2.2680607
134,"""Rue Alfred Suquet, 92230 Gennevilliers, France""",48.9365268,2.2774303
135,"""5 Rue Léo Hamon, 92230 Gennevilliers, France""",48.9371973,2.2862298
136,"""41 Rue Villebois Mareuil, 92230 Gennevilliers, France""",48.9353257,2.2968064
137,"""7 Allée des Pierres Mayettes, 92230 Gennevilliers, France""",48.9367578,2.3017207
138,"""Chemin des Hauts Tilliers, 92230 Gennevilliers, France""",48.9353022,2.3160266
139,"""33 Avenue du 8 Mai 1945, 92390 Villeneuve-la-Garenne, France""",48.93725850000000,2.3195592
140,"""Mairie de Villeneuve-la-Garenne, 92390 Villeneuve-la-Garenne, France""",48.9355945,2.334117
141,"""6 Rue Henri Barbusse, 92390 Villeneuve-la-Garenne, France""",48.9362432,2.3352649
142,"""21 Rue Ernest Renan, 93200 Saint-Denis, France""",48.9361355,2.3488485
143,"""20 Rue Catulienne, 93200 Saint-Denis, France""",48.9361705,2.3514434
144,"""55 Rue de Strasbourg, 93200 Saint-Denis, France""",48.9361256,2.3653136
145,"""73 Rue de Strasbourg, 93200 Saint-Denis, France""",48.9360762,2.3685607
146,"""2 Rue Diderot, 93200 Saint-Denis, France""",48.9362989,2.3804072
147,"""51 Avenue Roger Salengro, 93120 La Courneuve, France""",48.9365734,2.3859181
148,"""Parc départemental Georges-Valbon, 55 Avenue Waldeck Rochet, 93120 La Courneuve, France""",48.93723480000000,2.4036373
149,"""39 Avenue Waldeck Rochet, 93120 La Courneuve, France""",48.93419490000000,2.4015393
150,"""10 Rue Clément Ader, 93120 La Courneuve, France""",48.9362966,2.4152066
151,"""101 Rue Hoche, 92700 Colombes, France""",48.9220172,2.2658239
152,"""5 Impasse des Fleurs, 92270 Bois-Colombes, France""",48.9219794,2.2685828
153,"""127 Rue du Ménil, 92600 Asnières-sur-Seine, France""",48.921947,2.2825425
154,"""65 Rue Robert Dupont, 92600 Asnières-sur-Seine, France""",48.92216150000000,2.2849943
155,"""Barbusse, 92230 Gennevilliers, France""",48.92343900000000,2.2999977
156,"""7 Rue de l'Arbre Sec, 92230 Gennevilliers, France""",48.9219745,2.301162
157,"""231 Rue des Caboeufs, 92230 Gennevilliers, France""",48.9221909,2.3156966
158,"""23 Boulevard Louise Michel, 92230 Gennevilliers, France""",48.9225047,2.3187758
159,"""Centre Commercial de l'Ile-Saint-Denis, 93450 L'Île-Saint-Denis, France""",48.922037,2.331268
160,"""20 Rue Ampère, 93200 Saint-Denis, France""",48.9226374,2.3365594
161,"""101 Boulevard Anatole France, 93200 Saint-Denis, France""",48.922814,2.3476628
162,"""315 Av. du Pdt Wilson, 93210 Saint-Denis, France""",48.9215891,2.3514344
163,"""93200 Saint-Denis, France""",48.9315523,2.3563278
164,"""Pont Sur Le Canal De L'ourcq, Av. Francis de Pressensé, 93300 Aubervilliers, France""",48.9223683,2.3682359
165,"""6 Rue Jollois, 93120 La Courneuve, France""",48.9221216,2.3821826
166,"""44 Boulevard Pasteur, 93120 La Courneuve, France""",48.92264430000000,2.3840799
167,"""70 Rue Colbert, 93300 Aubervilliers, France""",48.922415,2.3984637
168,"""La FR, 97 Rue Anatole France, 93120 La Courneuve, France""",48.9219385,2.4016417
169,"""44 Rue Giuseppe Garibaldi, 93120 La Courneuve, France""",48.9221344,2.4161708
170,"""78570 Andrésy, France""",48.979048,2.051033
171,"""7 Rue du Vexin, 78570 Andrésy, France""",48.9890032,2.0541532
172,"""11 Rue de Valois, 78570 Andrésy, France""",48.9890388,2.0565611
173,"""62 Quai de l'Oise, 78570 Andrésy, France""",48.9889017,2.0709221
174,"""5 Quai du Confluent, 78700 Conflans-Sainte-Honorine, France""",48.98888910000000,2.0726556
175,"""31 Quai de la République, 78700 Conflans-Sainte-Honorine, France""",48.99077220000000,2.0867533
176,"""3 Rue du Maréchal Joffre, 78700 Conflans-Sainte-Honorine, France""",48.99137900000000,2.089214000000000
177,"""L'Île du Devant, 78700 Conflans-Sainte-Honorine, France""",48.9893216,2.1016275
178,"""78700 Conflans-Sainte-Honorine, France""",48.9969698,2.1026339
179,"""95220 Herblay, France""",48.990006,2.165493
180,"""59 Avenue du Général Leclerc, 95220 Herblay, France""",48.98876510000000,2.1542941
181,"""54 Avenue du Général Leclerc, 95220 Herblay, France""",48.9887792,2.1561909
182,"""14 Rue Henri Dunant, 95220 Herblay, France""",48.9888906,2.1718292
183,"""30 Rue des Courtes Terres, 95220 Herblay, France""",48.9894064,2.1735453
184,"""27 Rue Fortuné Charlot, 95370 Montigny-lès-Cormeilles, France""",48.9888017,2.1874884
185,"""9 Rue du Général de Gaulle, 95370 Montigny-lès-Cormeilles, France""",48.9888588,2.1902422
186,"""395 Rue du Général Leclerc, 95130 Franconville, France""",48.9885751,2.2062022
187,"""346 Rue du Général Leclerc, 95130 Franconville, France""",48.98915300000000,2.2069068
188,"""7 Bis Avenue des Marais, 95130 Franconville, France""",48.988923,2.2201934
189,"""48 Rue de Taverny, 95130 Franconville, France""",48.9891547,2.2227738
190,"""18 Rue Raspail, 95130 Franconville, France""",48.9889459,2.2371774
191,"""11 Allée des Magnolias, 95130 Franconville, France""",48.9894342,2.240151
192,"""17 Route de Franconville, 95120 Ermont, France""",48.989361,2.254375
193,"""1 Rue Louis Dessard, 95120 Ermont, France""",48.9891057,2.256558
194,"""16 Rue Beauséjour, 95600 Eaubonne, France""",48.9886937,2.2703478
195,"""36 Boulevard du Petit Château, 95600 Eaubonne, France""",48.98907820000000,2.2735118
196,"""2 Allée de Gascogne, 95600 Eaubonne, France""",48.9892006,2.2866402
197,"""22 Avenue des Myosotis, 95230 Soisy-sous-Montmorency, France""",48.9886656,2.2897612
198,"""22 Rue du Puits Grenet, 95230 Soisy-sous-Montmorency, France""",48.98944180000000,2.3042834
199,"""9 Allée des Sapins, 95230 Soisy-sous-Montmorency, France""",48.9887576,2.3074557
200,"""13 Rue Saint-Jacques, 95160 Montmorency, France""",48.98889520000000,2.3208574
201,"""23 Rue de Clairvaux, 95160 Montmorency, France""",48.9885783,2.3233416
202,"""4 Rue du Champ de l'Asile, 95410 Groslay, France""",48.9888877,2.337785
203,"""8 Chemin du Bequet, 95410 Groslay, France""",48.9895593,2.3400734
204,"""10 Chemin de la Carrière À Bancel, 95410 Groslay, France""",48.98915120000000,2.3539495
205,"""73 Rue du Dr Goldstein, 95410 Groslay, France""",48.98896260000000,2.3566486
206,"""5 Rue d'Alsace, 95200 Sarcelles, France""",48.9889075,2.3700995
207,"""218b Avenue de la Division Leclerc, 95200 Sarcelles, France""",48.9888224,2.3733268
208,"""2 Rue du Vignolle, 95200 Sarcelles, France""",48.9885546,2.386984
209,"""1 Rue de l'Escouvrier, 95200 Sarcelles, France""",48.9887367,2.3900705
210,"""57 Avenue Raphaël, 95200 Sarcelles, France""",48.9886681,2.4038344
211,"""4 Avenue Pierre Lizart, 95400 Arnouville, France""",48.9888931,2.4070118
212,"""42 Rue Robert Schuman, 95400 Arnouville, France""",48.98926790000000,2.4205139
213,"""63 Rue Missak Manouchian, 95400 Arnouville, France""",48.9889649,2.4240382
214,"""4 Impasse Louis Lépine, 95500 Gonesse, France""",48.9899867,2.4363873
215,"""7 Rue de l'Eglantier, 95500 Gonesse, France""",48.9879779,2.4396745
216,"""3 Rue des Frères Montgolfier, 95500 Gonesse, France""",48.9889078,2.4538221
217,"""12 Rue des Frères Montgolfier, 95500 Gonesse, France""",48.9890893,2.4570853
218,"""95500 Gonesse, France""",48.9864632,2.4497721
219,"""95700 Roissy-en-France, France""",49.00363,2.516978
220,"""30 Rue des Buissons, 95700 Roissy-en-France, France""",48.9912687,2.5219629
221,"""3296 Rue de la Belle Borne, 93290 Tremblay-en-France, France""",48.9897752,2.5216402
222,"""9 Rue du Haut de Laval, 93290 Tremblay-en-France, France""",48.9917289,2.5422812
223,"""3 Chemin des Voyeux, 93290 Tremblay-en-France, France""",48.98616990000000,2.5518804
224,"""93290 Tremblay-en-France, France""",48.979952,2.557211
225,"""77290 Mitry-Mory, France""",48.98543,2.619156
226,"""1 Rue du Cimetière, 77290 Mitry-Mory, France""",48.9881312,2.6174685
227,"""77290 Mitry-Mory, France""",48.98543,2.619156
228,"""24 Rue Edouard Branly, 77290 Mitry-Mory, France""",48.9880009,2.6389055
229,"""D9, 77290 Compans, France""",48.9909118,2.6493028
230,"""Rue Copernic, 77290 Compans, France""",48.9861404,2.6536625
231,"""41 Rue Mercier, 77290 Compans, France""",48.9896992,2.6553979
232,"""Rue de la Fontaine, 77290 Compans, France""",48.9891125,2.6694097
233,"""Moulin d'Ouacre, 77290 Compans, France""",48.986959,2.672235
234,"""6-20 Chemin de la Grande Rue, 78570 Chanteloup-les-Vignes, France""",48.9840609,2.0359316
235,"""8 Rue des Terres Blanches, 78570 Andrésy, France""",48.9856643,2.0540944
236,"""25 Avenue des Robaresses, 78570 Andrésy, France""",48.9865103,2.0571753
237,"""24 Avenue du Général de Gaulle, 78570 Andrésy, France""",48.9862393,2.068664
238,"""15 Cours de Chimay, 78700 Conflans-Sainte-Honorine, France""",48.9876382,2.0736051
239,"""2 Allée des Tilleuls Cité Garenne, 78100 Saint-Germain-en-Laye, France""",48.9849397,2.0880551
240,"""78260 Achères, France""",48.9772197,2.0787198
241,"""Le Relais de la Garenne, 78100 Saint-Germain-en-Laye, France""",48.9855508,2.1180862
242,"""Route Centrale, 78100 Saint-Germain-en-Laye, France""",48.9808641,2.1556504
243,"""78100 Saint-Germain-en-Laye, France""",48.9315928,2.0921881
244,"""16 Route Centrale des Noyers, 78100 Saint-Germain-en-Laye, France""",48.9846206,2.1426309
245,"""2 Quai du Génie, 95220 Herblay, France""",48.98706930000000,2.1575156
246,"""4B Quai du Génie, 95220 Herblay, France""",48.9871602,2.1570344
247,"""33T Boulevard Georges Clemenceau, 95220 Herblay, France""",48.98632060000000,2.1705416
248,"""71 Rue Gambetta, 95530 Herblay, France""",48.986183,2.1737919
249,"""2 Rue de Bellevue, 95370 Montigny-lès-Cormeilles, France""",48.98649500000000,2.1880817
250,"""16 Rue de la Résistance, 95370 Montigny-lès-Cormeilles, France""",48.9861909,2.1907728
251,"""5 Chemin Borne de Marbre, 95240 Cormeilles-en-Parisis, France""",48.98447120000000,2.2037518
252,"""395 Rue du Général Leclerc, 95130 Franconville, France""",48.9885751,2.2062022
253,"""2 Rue Pierre Fossati, 95130 Franconville, France""",48.986363,2.2199122
254,"""2 Impasse des Clos Milons, 95130 Franconville, France""",48.9859963,2.2235081
255,"""9 Boulevard du Bel air, 95130 Franconville, France""",48.9858316,2.2382159
256,"""18 Rue Victor Basch, 95130 Franconville, France""",48.9862761,2.240455
257,"""9 Allée du Clos Laisnées, 95120 Ermont, France""",48.9857475,2.253691700000000
258,"""53 Rue de Stalingrad, 95120 Ermont, France""",48.9860944,2.2568878
259,"""68 B Chaussée Jules César, 95600 Eaubonne, France""",48.986012,2.2708871
260,"""51 Rue du Général Leclerc, 95600 Eaubonne, France""",48.9862648,2.2733032
261,"""48 Avenue Jean Jaurès, 95230 Soisy-sous-Montmorency, France""",48.9873886,2.2885644
262,"""32 Avenue Jean Jaurès, 95230 Soisy-sous-Montmorency, France""",48.9869304,2.2898049
263,"""4 Rue Brebant, 95230 Soisy-sous-Montmorency, France""",48.9867173,2.3040069
264,"""70 Rue de la Fosse aux Moines, 95230 Soisy-sous-Montmorency, France""",48.9861635,2.3070867
265,"""4 Place de l'Auditoire, 95160 Montmorency, France""",48.9860463,2.3203133
266,"""9 Rue Notre Dame, 95160 Montmorency, France""",48.9859146,2.3237558
267,"""18 Rue du Dr Benasson, 95410 Groslay, France""",48.98634820000000,2.3374332
268,"""3 Rue Raoul Duchêne, 95410 Groslay, France""",48.9863959,2.3401371
269,"""53 Rue Pasteur, 95410 Groslay, France""",48.9863115,2.3541338
270,"""17 Rue Berthelot, 95410 Groslay, France""",48.9864747,2.3576091
271,"""7 Allée du Jeu de Boules, 95200 Sarcelles, France""",48.986084,2.3704657
272,"""200 Avenue de la Division Leclerc, 95200 Sarcelles, France""",48.98569030000000,2.3730216
273,"""1 Rue du Père Heude, 95200 Sarcelles, France""",48.9861818,2.3881762
274,"""6 Rue du Bas Perreux, 95200 Sarcelles, France""",48.98599550000000,2.3900356
275,"""65 Avenue Pierre Lizart, 95400 Arnouville, France""",48.9865836,2.4034662
276,"""100 Avenue Charles Vaillant, 95400 Arnouville, France""",48.9858864,2.4072126
277,"""4 Rue Eugène Lemaire, 95400 Arnouville, France""",48.9861753,2.4208915
278,"""2-30 Rue de Clermont, 95400 Arnouville, France""",48.9858225,2.4223246
279,"""espace Godard RN 370, 95500 Gonesse, France""",48.9825578,2.4428564
280,"""3 Rue d'Orgemont, 95500 Gonesse, France""",48.9861331,2.4400395
281,"""CHRONO+EXPERT 97, Rue de Paris, 95500 Gonesse, France""",48.9863613,2.4568038
282,"""97 Rue de Paris, 95500 Gonesse, France""",48.9863613,2.4568038
283,"""Route de Paris À Senlis, 95500 Gonesse, France""",48.98764,2.4730253
284,"""7 Route de l'Europe, 95500 Gonesse, France""",48.9854183,2.4733017
285,"""95500 Gonesse, France""",48.9864632,2.4497721
286,"""2 Route de Roissy, 95500 Gonesse, France""",48.987559,2.4828538
287,"""167 Rue de la Belle Étoile, 95700 Roissy-en-France, France""",48.9837033,2.5071675
288,"""229 Rue de la Belle Étoile, 95700 Roissy-en-France, France""",48.9847009,2.5097709
289,"""28 Rue des Chardonnerets, 93290 Tremblay-en-France, France""",48.9857574,2.5192107
290,"""93290 Tremblay-en-France, France""",48.979952,2.557211
291,"""Chemin des Plâtrières, 93290 Tremblay-en-France, France""",48.9869801,2.5537291
292,"""16 Route Périphérique S, 93290 Tremblay-en-France, France""",48.9866948,2.5594711
293,"""93290 Tremblay-en-France, France""",48.979952,2.557211
294,"""77290 Mitry-Mory, France""",48.98543,2.619156
295,"""20 Rue Biesta, 77290 Mitry-Mory, France""",48.9851627,2.6187536
296,"""22 Ruelle du Coq, 77290 Mitry-Mory, France""",48.98576810000000,2.622502
297,"""5 Rue Edouard Branly, 77290 Mitry-Mory, France""",48.986008,2.6373901
298,"""3 rue Gay Lussac angle, Rue Jean Perrin, 77290 Mitry-Mory, France""",48.9863753,2.6406535
299,"""1 Rue Copernic, 77290 Compans, France""",48.985403,2.652039
300,"""D212, 77290 Compans, France""",48.98939440000000,2.6574045
301,"""3 Moulin d'Ouacre, 77290 Compans, France""",48.986819,2.672663
302,"""Rue Du Moulin De L Ouacre, 77290 Compans, France""",48.986959,2.672235
303,"""Chanteloup-les-Vignes, France""
",48.97882500000000,2.030051
304,"""8 Rue de la Roulette, 78570 Andrésy, France""",48.9739877,2.052815
305,"""93 Quai de l'Île Peygrand, 78570 Andrésy, France""",48.9723534,2.0571871
306,"""1 Chemin des Basses Plaines, 78260 Achères, France""",48.9725898,2.069198
307,"""205 Avenue du Général Charles de Gaulle, 78260 Achères, France""",48.97148810000000,2.075092
308,"""78100 Saint-Germain-en-Laye, France""",48.9315928,2.0921881
309,"""1 Allée des Peupliers, 78100 Saint-Germain-en-Laye, France""",48.9732586,2.1573551
310,"""3 Allée des Peupliers, 78100 Saint-Germain-en-Laye, France""",48.9730293,2.1577317
311,"""Unnamed Road, 78100 Saint-Germain-en-Laye, France""",48.9315928,2.0921881
312,"""Unnamed Road, 78260 Achères, France""",48.9772197,2.0787198
313,"""18 Rue de la Frette, 95240 Cormeilles-en-Parisis, France""",48.9728286,2.1871237
314,"""6 Rue des Alluets, 95240 Cormeilles-en-Parisis, France""",48.9721945,2.1897903
315,"""14 Rue Emy les Prés, 95240 Cormeilles-en-Parisis, France""",48.9722669,2.2046481
316,"""11 Rue du Clos de Medon, 95240 Cormeilles-en-Parisis, France""",48.9724095,2.2067703
317,"""95240 Cormeilles-en-Parisis, France""",48.9749352,2.2021525
318,"""95110 Sannois, France""",48.9707945,2.2568614
319,"""70 Chemin de la Tour du Mail, 95110 Sannois, France""",48.9706006,2.2377308
320,"""12 Rue des Piretins, 95110 Sannois, France""",48.9719963,2.2541459
321,"""2 Place Maurice Utrillo, 95110 Sannois, France""",48.9722543,2.2568209
322,"""8 Avenue du Clair Logis, 95110 Sannois, France""",48.9722078,2.2704824
