CAR_ID,MODEL,PRICE,DISTANCE,SCRAPED_DATE,STARTING_DATE,CAR_DETAIL
680342,Peugeot 208 WAGRAM - 1.2 VTi 82 12V S&S 83 cv,112€,"2,98km",2020-06-05 17:36:15.851755,2020-06-06,/cars/680342/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
680344,Peugeot 208,112€,"2,98km",2020-06-05 17:36:15.851755,2020-06-06,/cars/680344/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
470538,Fiat 500 Bianco,81€,"3,08km",2020-06-05 17:36:15.851755,2020-06-06,/cars/470538/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
574406,Citroen C3,66€,"3,08km",2020-06-05 17:36:15.851755,2020-06-06,/cars/574406/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
659161,"Toyota Yaris Hybride Boîte Auto (Clim, GPS, Camera de recul, ...) #ce",132€,"3,22km",2020-06-05 17:36:15.867361,2020-06-06,/cars/659161/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
489829,Volkswagen Polo 1.0 trendline clim citadine parfaite,58€,"3,68km",2020-06-05 17:36:15.867361,2020-06-06,/cars/489829/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
450209,Renault Twingo Sport Toit ouvrant,56€,"3,74km",2020-06-05 17:36:15.867361,2020-06-06,/cars/450209/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
563084,Renault Clio IV BUSINESS - LA DEFENSE METRO/RER - PUTEAUX TRAM T2 - NANTERRE,60€,"3,76km",2020-06-05 17:36:15.867361,2020-06-06,/cars/563084/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
337260,Smart Fortwo Coupé faible conso.,58€,"4,16km",2020-06-05 17:36:15.867361,2020-06-06,/cars/337260/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
203900,"Renault Twingo TREND (clim, vitres électriques, commandes au volant...) Beaugrenelle",50€,"4,37km",2020-06-05 17:36:15.867361,2020-06-06,/cars/203900/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
CAR_ID,MODEL,PRICE,DISTANCE,SCRAPED_DATE,STARTING_DATE,CAR_DETAIL
438720,Opel Corsa Boîte auto,101€,720m,2020-06-05 17:37:16.240291,2020-06-06,/cars/438720/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
607772,Audi A3,143€,860m,2020-06-05 17:37:16.240291,2020-06-06,/cars/607772/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
622768,Renault Mégane Estate Automatique,70€,"1,85km",2020-06-05 17:37:16.240291,2020-06-06,/cars/622768/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
649976,Citroen DS3 Crossback CARPLAY ANDROID AUTO BLUETOOTH,78€,"2,24km",2020-06-05 17:37:16.240291,2020-06-06,/cars/649976/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
638493,Fiat 500 Nero,81€,"2,39km",2020-06-05 17:37:16.240291,2020-06-06,/cars/638493/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
257791,"Fiat Panda 2017 5p (clim, Bluetooth,...) - BOULOGNE CENTRE #ab",107€,"2,69km",2020-06-05 17:37:16.240291,2020-06-06,/cars/257791/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
574849,Fiat 500 Grigio,81€,"2,84km",2020-06-05 17:37:16.240291,2020-06-06,/cars/574849/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
601239,Fiat 500 Boite Automatique,101€,"2,98km",2020-06-05 17:37:16.240291,2020-06-06,/cars/601239/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
605497,Renault Clio FF336SH,112€,"2,98km",2020-06-05 17:37:16.240291,2020-06-06,/cars/605497/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
336907,Renault Clio 1.5 dCi  GPS DW129CC,111€,"2,98km",2020-06-05 17:37:16.240291,2020-06-06,/cars/336907/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
680342,Peugeot 208 WAGRAM - 1.2 VTi 82 12V S&S 83 cv,112€,"2,98km",2020-06-05 17:37:16.240291,2020-06-06,/cars/680342/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
680344,Peugeot 208,112€,"2,98km",2020-06-05 17:37:16.240291,2020-06-06,/cars/680344/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
470538,Fiat 500 Bianco,81€,"3,08km",2020-06-05 17:37:16.255908,2020-06-06,/cars/470538/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
574406,Citroen C3,66€,"3,08km",2020-06-05 17:37:16.255908,2020-06-06,/cars/574406/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
659161,"Toyota Yaris Hybride Boîte Auto (Clim, GPS, Camera de recul, ...) #ce",132€,"3,22km",2020-06-05 17:37:16.255908,2020-06-06,/cars/659161/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
489829,Volkswagen Polo 1.0 trendline clim citadine parfaite,58€,"3,68km",2020-06-05 17:37:16.255908,2020-06-06,/cars/489829/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
450209,Renault Twingo Sport Toit ouvrant,56€,"3,74km",2020-06-05 17:37:16.255908,2020-06-06,/cars/450209/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
563084,Renault Clio IV BUSINESS - LA DEFENSE METRO/RER - PUTEAUX TRAM T2 - NANTERRE,60€,"3,76km",2020-06-05 17:37:16.255908,2020-06-06,/cars/563084/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
337260,Smart Fortwo Coupé faible conso.,58€,"4,16km",2020-06-05 17:37:16.255908,2020-06-06,/cars/337260/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
203900,"Renault Twingo TREND (clim, vitres électriques, commandes au volant...) Beaugrenelle",50€,"4,37km",2020-06-05 17:37:16.255908,2020-06-06,/cars/203900/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
CAR_ID,MODEL,PRICE,DISTANCE,SCRAPED_DATE,STARTING_DATE,CAR_DETAIL
438720,Opel Corsa Boîte auto,101€,720m,2020-06-05 17:38:41.116281,2020-06-06,/cars/438720/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
607772,Audi A3,143€,860m,2020-06-05 17:38:41.117260,2020-06-06,/cars/607772/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
622768,Renault Mégane Estate Automatique,70€,"1,85km",2020-06-05 17:38:41.117260,2020-06-06,/cars/622768/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
649976,Citroen DS3 Crossback CARPLAY ANDROID AUTO BLUETOOTH,78€,"2,24km",2020-06-05 17:38:41.118260,2020-06-06,/cars/649976/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
638493,Fiat 500 Nero,81€,"2,39km",2020-06-05 17:38:41.119282,2020-06-06,/cars/638493/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
574849,Fiat 500 Grigio,81€,"2,84km",2020-06-05 17:38:41.120257,2020-06-06,/cars/574849/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
601239,Fiat 500 Boite Automatique,101€,"2,98km",2020-06-05 17:38:41.121259,2020-06-06,/cars/601239/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
605497,Renault Clio FF336SH,112€,"2,98km",2020-06-05 17:38:41.121259,2020-06-06,/cars/605497/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
336907,Renault Clio 1.5 dCi  GPS DW129CC,111€,"2,98km",2020-06-05 17:38:41.122260,2020-06-06,/cars/336907/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
680342,Peugeot 208 WAGRAM - 1.2 VTi 82 12V S&S 83 cv,112€,"2,98km",2020-06-05 17:38:41.123280,2020-06-06,/cars/680342/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
680344,Peugeot 208,112€,"2,98km",2020-06-05 17:38:41.124280,2020-06-06,/cars/680344/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
470538,Fiat 500 Bianco,81€,"3,08km",2020-06-05 17:38:41.126257,2020-06-06,/cars/470538/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
574406,Citroen C3,66€,"3,08km",2020-06-05 17:38:41.133647,2020-06-06,/cars/574406/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
659161,"Toyota Yaris Hybride Boîte Auto (Clim, GPS, Camera de recul, ...) #ce",132€,"3,22km",2020-06-05 17:38:41.136651,2020-06-06,/cars/659161/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
489829,Volkswagen Polo 1.0 trendline clim citadine parfaite,58€,"3,68km",2020-06-05 17:38:41.138647,2020-06-06,/cars/489829/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
450209,Renault Twingo Sport Toit ouvrant,56€,"3,74km",2020-06-05 17:38:41.139644,2020-06-06,/cars/450209/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
563084,Renault Clio IV BUSINESS - LA DEFENSE METRO/RER - PUTEAUX TRAM T2 - NANTERRE,60€,"3,76km",2020-06-05 17:38:41.140645,2020-06-06,/cars/563084/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
337260,Smart Fortwo Coupé faible conso.,58€,"4,16km",2020-06-05 17:38:41.140645,2020-06-06,/cars/337260/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
203900,"Renault Twingo TREND (clim, vitres électriques, commandes au volant...) Beaugrenelle",50€,"4,37km",2020-06-05 17:38:41.141645,2020-06-06,/cars/203900/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
326267,"Toyota Aygo 2 x-play (clim, USB, Bluetooth...) Beaugrenelle",50€,"4,37km",2020-06-05 17:38:41.142647,2020-06-06,/cars/326267/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
CAR_ID,MODEL,PRICE,DISTANCE,SCRAPED_DATE,STARTING_DATE,CAR_DETAIL
438720,Opel Corsa Boîte auto,101€,720m,2020-06-05 17:40:11.401219,2020-06-06,/cars/438720/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
607772,Audi A3,143€,860m,2020-06-05 17:40:11.401219,2020-06-06,/cars/607772/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
622768,Renault Mégane Estate Automatique,70€,"1,85km",2020-06-05 17:40:11.401219,2020-06-06,/cars/622768/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
649976,Citroen DS3 Crossback CARPLAY ANDROID AUTO BLUETOOTH,78€,"2,24km",2020-06-05 17:40:11.401219,2020-06-06,/cars/649976/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
638493,Fiat 500 Nero,81€,"2,39km",2020-06-05 17:40:11.401219,2020-06-06,/cars/638493/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
574849,Fiat 500 Grigio,81€,"2,84km",2020-06-05 17:40:11.401219,2020-06-06,/cars/574849/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
601239,Fiat 500 Boite Automatique,101€,"2,98km",2020-06-05 17:40:11.401219,2020-06-06,/cars/601239/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
605497,Renault Clio FF336SH,112€,"2,98km",2020-06-05 17:40:11.401219,2020-06-06,/cars/605497/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
336907,Renault Clio 1.5 dCi  GPS DW129CC,111€,"2,98km",2020-06-05 17:40:11.401219,2020-06-06,/cars/336907/preview?distance=200&duration=Pour+1+jour&ends_at=2020-06-07+00%3A00%3A00+%2B0200&pick_cta=true&price_placeholder=true&searched_address%5Blatitude%5D=48.8949&searched_address%5Blongitude%5D=2.2658&starts_at=2020-06-06+00%3A00%3A00+%2B0200
